index,true_label,matched_score,resume_snippet,classify_zeroshot,classify_fewshot,entity_zeroshot,entity_cot,summary_zeroshot,summary_role,true_domain,pred_domain_zs,pred_domain_fs,correct_zs,correct_fs
37,HR Officer,0.7833333333333333,"To advance in professional and personal experiences within Finance, Tax Accounting and Management To obtain a Staff Acco",Finance & Audit,Finance & Audit,"{""skills"": [""mathematical"", ""numerical"", ""accounting"", ""analytical""], ""years_experience"": ""unknown"", ""education_level"": ""unknown""}","{""skills"": [""mathematical"", ""numerical"", ""accounting"", ""analytical""], ""years_experience"": ""unknown"", ""education_level"": ""unknown""}","This candidate's experience in finance and tax accounting, combined with their goal to advance into an HR role, suggests they possess transferable skills that could be leveraged as a Staff Accountant, providing a solid foundation for success in an HR Officer position.","This candidate appears suitable for an HR Officer role due to their strong accounting background and relevant skills, but may require additional training in HR competencies, such as recruitment and employee relations, to excel in this new field.",HR & Administration,Finance & Audit,Finance & Audit,0,0
38,HR Officer,0.516666667,Looking for roles related to application development in Machine Learning.,Data & AI,Data & AI,"{""skills"": [""Machine Learning"", ""application development""], ""years_experience"": ""unknown"", ""education_level"": ""unknown""}","{""skills"": [""application development"", ""Machine Learning""], ""years_experience"": ""unknown"", ""education_level"": ""unknown""}","Unfortunately, based on the information provided, it appears that the candidate's skills and experience may not align with the requirements of an HR Officer position, as their resume indicates a focus on application development in Machine Learning rather than human resources.","This candidate's extensive background in recruitment, particularly in tech-related industries, makes them a strong fit for the role, but their lack of direct experience in machine learning application development and recruitment for this specific field may require additional training or guidance.",HR & Administration,Data & AI,Data & AI,0,0
39,Head of Internal Control & Compliance (ICC) - SEVP/DMD,0.85,"To obtain a position in a fast-paced business office environment, demanding a strong organizational, technical, and inte",Business & Marketing,Business & Marketing,"{""skills"": [], ""years_experience"": ""unknown"", ""education_level"": ""unknown""}","{""skills"": [""organizational"", ""technical"", ""interpersonal""], ""years_experience"": ""unknown or unspecified"", ""education_level"": ""unknown""}","Based on the resume, this candidate appears to be an ideal fit for the Head of Internal Control & Compliance role due to their demonstrated ability to excel in organizational, technical, and interpersonal capacities that align with the demands of a fast-paced business office environment.","The candidate appears to be a strong contender for the ICC role, with exceptional technical expertise (noting their extensive experience in regulatory compliance and internal audit) but may require guidance on developing more strategic and leadership-oriented skills to effectively lead the function as a senior executive.",Finance & Audit,Business & Marketing,Business & Marketing,0,0
40,Head of Internal Control & Compliance (ICC) - SEVP/DMD,0.826666,Seasoned business development professional seeking leadership position with increasing responsibility and room to contri,Business & Marketing,Business & Marketing,"{""skills"": [], ""years_experience"": ""unknown"", ""education_level"": ""unknown""}","{""skills"": [""business development"", ""leadership""], ""years_experience"": ""10 years or unknown"", ""education_level"": ""unknown""}","The Seasoned business development professional appears to be underqualified for a Head of Internal Control & Compliance (ICC) role, given their lack of direct experience in internal control or compliance positions, and therefore may not have the necessary expertise to lead such a department.","This candidate is a strong fit for the Head of ICC role due to their extensive business development experience, but may require additional training or expertise in specific compliance regulations to effectively lead internal control initiatives.",Finance & Audit,Business & Marketing,Business & Marketing,0,0
41,Head of Internal Control & Compliance (ICC) - SEVP/DMD,0.85,To obtain a position within an organization that utilizes my skill set to continuously add vale and achieve best-in-clas,Other,Other,"{""skills"": [""continuous improvement"", ""achieving results""], ""years_experience"": ""unknown"", ""education_level"": ""unknown""}","{""skills"": [""skill set""], ""years_experience"": ""unknown years"", ""education_level"": ""unknown""}","The candidate's strong emphasis on continuous improvement, achieving best-in-class results, and desire for growth aligns well with the requirement of driving exceptional internal control and compliance in the Head of ICC - SEVP/DMD role.","I would summarize the candidate's suitability as: The candidate, with 15+ years of internal audit experience, appears suitable for the role, bringing significant technical expertise in compliance management (strength), but may require additional development to address gaps in strategic thinking and leadership acumen to effectively drive business results.

(Note: I didn't see a gap in their resume, so I focused on assuming that one might be required for this specific role. If there's an actual gap mentioned in the resume, it would be different.)",Finance & Audit,Other,Other,0,0
42,Intern (Generative AI Engineering - 2D/3D Image Generation),0.85,"Associate Solution Advisor currently enrolled in PG for Data science, Knowledge in data manipulation, analysis, reportin",Data & AI,Data & AI,"{""skills"": [""data manipulation"", ""analysis"", ""reporting"", ""data visualization""], ""years_experience"": ""unknown"", ""education_level"": ""PG""}","{""skills"": [""data manipulation"", ""analysis"", ""reporting"", ""data visualization""], ""years_experience"": ""currently enrolled or unknown"", ""education_level"": ""PG or unknown""}","Although lacking direct experience in generative AI engineering, the candidate's skills in data manipulation, analysis, and reporting suggest potential adaptability to this role, although additional training or guidance would be necessary to bridge the gap between theoretical knowledge and hands-on application.","This candidate appears to have a strong technical foundation in data manipulation and analysis, but lacks direct experience in generative AI engineering, making them a promising but developmentally challenged fit for the internship role.",Data & AI,Data & AI,Data & AI,1,1
43,Intern (Generative AI Engineering - 2D/3D Image Generation),0.826666667,"Machine learning Enthusiast. Motivated to learn, grow and excel my experience by challenging myself.",Other,Data & AI,"{""skills"": [""Machine Learning""], ""years_experience"": ""unknown"", ""education_level"": ""unknown""}","{""skills"": [""Machine learning""], ""years_experience"": ""unknown"", ""education_level"": ""unknown""}",The candidate's enthusiasm for machine learning and eagerness to grow and take on new challenges make them a promising fit for the Generative AI Engineering internship role.,"The candidate appears to be a strong fit for the role, with their enthusiasm for machine learning and eagerness to challenge themselves being a notable strength, but they lack specific technical skills or experience in generative AI engineering that would make them stand out from other candidates.",Data & AI,Other,Data & AI,0,1
44,Intern (Generative AI Engineering - 2D/3D Image Generation),0.85,"I'm passionate learner with a knack for Artificial Intelligence. The kind of problems AI can solve, fills me with enthus",Data & AI,Data & AI,"{""skills"": [""Artificial Intelligence"", ""Machine learning""], ""years_experience"": ""> 1 year"", ""education_level"": ""unknown""}","{""skills"": [""Artificial Intelligence"", ""Machine learning""], ""years_experience"": ""1 year or unknown"", ""education_level"": ""unknown""}","This candidate demonstrates an enthusiastic passion for AI, showcasing their dedication to machine learning model development over the past year, which aligns well with the required skills for a Generative AI Engineering - 2D/3D Image Generation internship.","This candidate appears suitable for the role due to their demonstrated technical aptitude in machine learning models and passion for Artificial Intelligence, but lacks specific experience with generative AI engineering, particularly with 2D/3D image generation.",Data & AI,Data & AI,Data & AI,1,1
45,Machine Learning (ML) Engineer,0.816666667,"A challenging position in a Manufacturing, Engineering, or Research & Development environment where my overall technical",Other,Business & Marketing,"{""skills"": [""unknown""], ""years_experience"": ""X years or unknown"", ""education_level"": ""degree or unknown""}","{""skills"": [""leadership"", ""decision making""], ""years_experience"": ""unknown or varying"", ""education_level"": ""unknown""}","This candidate's strong technical background, leadership skills, and experience working in manufacturing/engineering/research settings make them a well-rounded fit for the Machine Learning Engineer role, positioning them to drive innovation and contribute significantly to company success.","This candidate appears suitable for the role as an ML Engineer, bringing strong technical expertise and leadership skills, but may require additional training or experience in specific industry-specific applications, particularly those relevant to Manufacturing, Engineering, or Research & Development.",Data & AI,Other,Business & Marketing,0,0
46,Machine Learning (ML) Engineer,0.65,Hard working recent graduate intending a part time or full time job to build experience in a Civil Engineering working e,Civil & Mechanical Engineering,Civil & Mechanical Engineering,"{""skills"": [""civil engineering"", ""roadway design"", ""traffic engineering""], ""years_experience"": ""0 years or unknown"", ""education_level"": ""bachelor's degree or unknown""}","{""skills"": [""civil engineering"", ""roadway design"", ""traffic engineering""], ""years_experience"": ""0 years or unknown"", ""education_level"": ""bachelor's degree or unknown""}","Although the candidate's background is not directly related to machine learning, their experience in civil engineering could translate well to understanding infrastructure and transportation systems, making them an interesting fit for an ML role that focuses on applications such as traffic prediction or smart infrastructure optimization.","The candidate's unique blend of civil engineering expertise and potential for adaptability to a machine learning role makes them an attractive fit, but their lack of direct experience with ML engineering software and tools is a significant gap that would require training and onboarding.",Data & AI,Civil & Mechanical Engineering,Civil & Mechanical Engineering,0,0
47,Machine Learning (ML) Engineer,0.85,Passionate Data Engineer with a zeal to excel forward and produce promising outcomes. Hands-on knowledge in various Mach,Data & AI,Data & AI,"{""skills"": [""Machine Learning Algorithms"", ""data mining"", ""warehouse managing"", ""visualization""], ""years_experience"": ""X years or unknown"", ""education_level"": ""unknown""}","{""skills"": [""Machine Learning Algorithms"", ""data mining"", ""warehouse maintaining"", ""visualization""], ""years_experience"": ""unknown or not specified"", ""education_level"": ""unknown""}","While this candidate's background is strong in data engineering, their hands-on experience with machine learning algorithms suggests they may be an excellent fit for a Machine Learning Engineer role, but more training or relevant experience would be necessary to fill that gap.","The candidate appears suitable for the ML Engineer role due to their hands-on experience with machine learning algorithms, but may require additional guidance in leadership and communication skills, given the emphasis on team collaboration and stakeholder management in this position.",Data & AI,Data & AI,Data & AI,1,1
48,Management Trainee - Mechanical,0.85,Hard working recent graduate intending a part time or full time job to build experience in a Civil Engineering working e,Other,Civil & Mechanical Engineering,"{""skills"": [""roadway design"", ""traffic engineering""], ""years_experience"": ""recent graduate or unknown"", ""education_level"": ""degree or unknown""}","{""skills"": [""Civil Engineering"", ""roadway design"", ""traffic engineering""], ""years_experience"": ""0 years or recent graduate"", ""education_level"": ""Bachelor's degree or unknown""}","This candidate's strong foundation in Civil Engineering, combined with their eagerness to gain practical experience in a mechanical setting, makes them a promising fit for the Management Trainee - Mechanical role.","This candidate is a suitable fit for the role, with their strong technical background in civil engineering, particularly in roadway design and traffic engineering, making them an attractive asset to our team; however, they lack direct management experience, which may require additional training or support during onboarding.",Civil & Mechanical Engineering,Other,Civil & Mechanical Engineering,0,1
49,Management Trainee - Mechanical,0.85,"To design, develop and manage products in the field of consumer electronics devices, networking protocols, internet appl",Data & AI,Data & AI,"{""skills"": [""product design"", ""networking protocols""], ""years_experience"": ""unknown years"", ""education_level"": ""degree or unknown""}","{""skills"": [""product design"", ""networking protocols"", ""internet applications""], ""years_experience"": ""8 years or unknown"", ""education_level"": ""Bachelor's degree or unknown""}","The candidate's experience designing, developing, and managing products in a variety of fields related to mechanical engineering, combined with their vision for creating personalized experiences through machine learning, suggests they would be well-suited for the Management Trainee - Mechanical role.","The candidate appears to be well-suited for the role due to their strong technical background in consumer electronics and networking, but may require additional training and soft skills development to effectively manage a team as a Management Trainee.",Civil & Mechanical Engineering,Data & AI,Data & AI,0,0
50,Management Trainee - Mechanical,0.85,To obtain a position within an organization that utilizes my skill set to continuously add vale and achieve best-in-clas,Other,Business & Marketing,"{""skills"": [], ""years_experience"": """", ""education_level"": """"}","{""skills"": [""continuously add value"", ""best-in-class results""], ""years_experience"": ""unknown"", ""education_level"": ""unknown""}","This candidate's strong desire for growth and improvement, as demonstrated by their stated goal of ""continuously adding value,"" suggests they would be a strong fit for the Management Trainee - Mechanical role, where they can develop skills and contribute to achieving organizational excellence.","This candidate, with strong mechanical aptitude and excellent problem-solving skills showcased on their resume, appears to be a promising fit for the Management Trainee role, but may need additional development in their written communication skills to effectively articulate their ideas.",Civil & Mechanical Engineering,Other,Business & Marketing,0,0
51,Manager- Human Resource Management (HRM),0.493333333,Associate software engineer specializing in Machine Learning models and Optimization. I work with both natural Language ,Data & AI,Data & AI,"{""skills"": [""Machine Learning"", ""Optimization"", ""Natural Language Processing"", ""Computer Vision""], ""years_experience"": ""5 years or unknown"", ""education_level"": ""Bachelor's degree or unknown""}","{""skills"": [""Machine Learning"", ""Optimization"", ""Natural Language Processing"", ""Computer Vision""], ""years_experience"": ""5 years or unknown"", ""education_level"": ""Bachelor's degree""}","Unfortunately, it appears that this candidate does not have the necessary experience or qualifications to be considered for a Manager- Human Resource Management (HRM) role, as their background is primarily in software engineering rather than HR or management.","This candidate's technical expertise in Machine Learning modeling is an attractive asset, but their lack of direct HR experience raises concerns about their ability to translate technical skills into effective human resource management strategies.",HR & Administration,Data & AI,Data & AI,0,0
52,Manager- Human Resource Management (HRM),0.45,Machine Learning engineer who has worked on multiple projects with knowledge in big data handling and business analytics,Data & AI,Data & AI,"{""skills"": [""big data handling"", ""business analytics""], ""years_experience"": ""X years or unknown"", ""education_level"": ""unknown""}","{""skills"": [""big data handling"", ""business analytics""], ""years_experience"": ""unknown"", ""education_level"": ""unknown""}","This candidate's technical background in big data handling and business analytics may not directly align with the requirements of an HRM role, but their self-described enthusiasm for continuous learning suggests potential adaptability and a willingness to explore new areas of expertise that could be valuable in this position.","This candidate's strong analytical background in machine learning engineering may not directly translate to HR management, where they lack relevant experience and training that could fill a significant gap, making them less suitable for the role.",HR & Administration,Data & AI,Data & AI,0,0
53,Manager- Human Resource Management (HRM),0.76,"A curiosity-driven data scientist, eager to leverage machine learning and data analytics to extract meaningful insights,",Data & AI,Data & AI,"{""skills"": [""machine learning"", ""data analytics""], ""years_experience"": ""X years or unknown"", ""education_level"": ""unknown""}","{""skills"": [""machine learning"", ""data analytics""], ""years_experience"": ""unknown or N/A"", ""education_level"": ""unknown""}","Although this candidate's background in data science is not directly related to human resource management, they demonstrate transferable skills such as analysis, decision-making, and collaboration, which could potentially be leveraged in an HRM role.","This candidate's strong analytical skills and ability to leverage data science tools to drive business insights make them a suitable fit for the HRM role, but their lack of direct human resource management experience and industry knowledge is a significant gap that would require additional training or onboarding to fill.",HR & Administration,Data & AI,Data & AI,0,0
54,Marketing Officer,0.583333333,As a research assistant I always try to define new boundaries and work in a meticulous way to figure out solutions. I ha,Data & AI,Data & AI,"{""skills"": [""Machine Learning""], ""years_experience"": ""unknown"", ""education_level"": ""unknown""}","{""skills"": [""Machine Learning""], ""years_experience"": ""unknown"", ""education_level"": ""unknown""}","This candidate, with their meticulous approach and experience using Machine Learning in research, appears to have a strong foundation to transition into the Marketing Officer role by applying similar analytical skills to develop targeted marketing strategies.","This candidate's strong analytical background in research, particularly with machine learning applications, makes them well-suited for a marketing role, but they need to address gaps in their direct experience with marketing strategy and campaign execution to excel in the position.",Business & Marketing,Data & AI,Data & AI,0,0
55,Marketing Officer,0.623333333,I am actively seeking opportunity as Data Analyst or Machine Learning Engineer. My goal is to discover new business stra,Data & AI,Data & AI,"{""skills"": [""Data Analysis"", ""Machine Learning""], ""years_experience"": ""2 years or unknown"", ""education_level"": ""Bachelor's degree or unknown""}","{""skills"": [""Data Analysis"", ""Machine Learning""], ""years_experience"": ""1-2 years or unknown"", ""education_level"": ""Unknown""}","Although the candidate's skills are currently aligned with Data Analyst/Machine Learning Engineer roles, their expressed interest in using data-driven analytical decisions to drive business strategy aligns closely with the Marketing Officer role, suggesting potential adaptability and transferable skillset.","Although this candidate's resume highlights a strong interest in data-driven analysis, their lack of relevant marketing experience and job history makes them less suitable for the Marketing Officer role at present.",Business & Marketing,Data & AI,Data & AI,0,0
56,Marketing Officer,0.626666667,As a Data Analyst I always look into more innovative ways of finding figures and facts from data. I have also worked wit,Data & AI,Data & AI,"{""skills"": [""Data Analysis"", ""Machine Learning""], ""years_experience"": ""X years or unknown"", ""education_level"": ""degree or unknown""}","{""skills"": [""data analysis"", ""machine learning""], ""years_experience"": ""unknown or not specified"", ""education_level"": ""unknown""}","While the candidate's background as a Data Analyst is not directly related to marketing, their experience with machine learning applications demonstrates transferable analytical skills that could be valuable in an innovative marketing context, suggesting they may have potential for growth into a Marketing Officer role.","The candidate appears unsuitable for the Marketing Officer role, as their background in Data Analysis lacks direct experience in marketing strategy, creative content development, or sales execution, despite demonstrating an interest in exploring innovative applications of machine learning.",Business & Marketing,Data & AI,Data & AI,0,0
57,Mechanical Designer,0.35,"Computer Science graduate with 2+ years of experience in systems management, information technology, and data administra",Data & AI,Software Engineering,"{""skills"": [""systems management"", ""information technology"", ""data administration"", ""framework application infrastructure"", ""technical process improvement"", ""system integration""], ""years_experience"": ""2+ years"", ""education_level"": ""graduate""}","{""skills"": [""systems management"", ""information technology"", ""data administration"", ""development"", ""technical process improvement"", ""system integration""], ""years_experience"": ""2+ years or unknown"", ""education_level"": ""Bachelor's degree""}","Unfortunately, I would say that this candidate does not appear to be a strong fit for the Mechanical Designer role, as their background and experience are primarily in computer science and systems management, lacking direct experience or qualifications in mechanical design.","This candidate's technical expertise is a significant strength, but their lack of direct mechanical design experience raises concerns about their ability to adapt to the specific requirements of this role, which may require a different set of skills and industry-specific knowledge.",Civil & Mechanical Engineering,Data & AI,Software Engineering,0,0
58,Mechanical Designer,0.35,I am an assistant software engineer working on cloud-based solutions. After working on a couple of Machine Learning appl,Data & AI,Software Engineering,"{""skills"": [""Machine Learning""], ""years_experience"": ""unknown"", ""education_level"": ""unknown""}","{""skills"": [""cloud-based solutions"", ""Machine Learning""], ""years_experience"": ""less than 2 years or unknown"", ""education_level"": ""unknown""}","While not directly related to mechanical design, the candidate's experience with machine learning evaluation and deployment suggests a strong analytical mindset and technical skillset that could be transferable to a role involving mechanical design, but may require additional education or training in relevant engineering principles.","This candidate is suitable for the Mechanical Designer role, but lacks direct relevant experience and skills in mechanical design, requiring targeted training or support to fill the technical gap.",Civil & Mechanical Engineering,Data & AI,Software Engineering,0,0
59,Mechanical Designer,0.35,"I am a Junior Machine Learning developer who focuses on data improvement and modelling, finding patterns in large databa",Data & AI,Data & AI,"{""skills"": [""Machine Learning"", ""Data Improvement"", ""Modeling""], ""years_experience"": ""0 years or junior"", ""education_level"": ""Bachelor's degree or unknown""}","{""skills"": [""Machine Learning"", ""Data Improvement"", ""Database"", ""Modeling""], ""years_experience"": ""Junior"", ""education_level"": ""Unknown""}","Unfortunately, it appears that the candidate's background is more geared towards machine learning development rather than mechanical design, suggesting a mismatch between their skills and the role.","While the candidate's analytical skills may be transferable to mechanical design, their strong background in machine learning development makes them less suitable for this role due to a significant knowledge gap regarding traditional design principles and industry-specific software.",Civil & Mechanical Engineering,Data & AI,Data & AI,0,0
